x,y
565,125
564,126
554,126
553,127
544,127
543,128
527,128
526,129
523,129
522,130
519,130
518,131
515,131
514,132
479,132
478,133
475,133
474,134
469,134
468,135
465,135
464,136
462,136
461,137
458,137
456,139
455,139
453,141
448,141
447,142
443,142
442,143
430,143
429,144
418,144
417,145
412,145
411,146
410,146
409,147
406,147
405,148
404,148
403,149
402,149
401,150
400,150
399,151
398,151
396,153
395,153
394,154
392,154
391,155
389,155
388,156
386,156
385,157
377,157
376,158
374,158
373,159
371,159
370,160
356,160
355,161
354,161
352,163
351,163
349,165
347,165
331,181
330,181
329,182
328,182
327,183
326,183
325,184
324,184
322,186
321,186
320,187
319,187
317,189
317,190
316,191
316,193
315,194
315,196
314,197
314,198
313,199
313,201
312,202
312,204
311,205
311,207
310,208
310,210
309,211
309,213
308,214
308,216
307,217
307,222
306,223
306,227
305,228
305,230
304,231
304,233
303,234
303,236
302,237
302,239
299,242
297,242
296,243
294,243
293,244
291,244
290,245
288,245
287,246
285,246
284,247
282,247
281,248
279,248
278,249
276,249
275,250
274,250
273,251
272,251
270,253
269,253
268,254
267,254
266,255
265,255
264,256
263,256
261,258
260,258
259,259
257,259
256,260
254,260
253,261
252,261
251,262
250,262
249,263
247,263
246,264
245,264
243,266
241,266
240,267
236,267
235,268
231,268
230,269
229,269
230,269
231,268
235,268
236,267
240,267
241,266
243,266
245,264
246,264
247,263
249,263
250,262
251,262
252,261
253,261
254,260
256,260
257,259
259,259
260,258
261,258
263,256
264,256
265,255
266,255
267,254
268,254
269,253
270,253
272,251
273,251
274,250
275,250
276,249
278,249
279,248
281,248
282,247
284,247
285,246
287,246
288,245
290,245
291,244
293,244
294,243
296,243
297,242
299,242
300,241
301,241
302,242
303,242
305,244
307,244
308,245
309,245
310,246
311,246
312,247
313,247
317,251
318,251
321,254
322,254
323,255
325,255
326,256
328,256
329,257
331,257
332,258
334,258
335,259
337,259
338,260
340,260
341,261
342,261
343,262
344,262
346,264
348,264
350,266
352,266
353,267
354,267
355,268
359,268
360,269
362,269
363,270
365,270
366,271
435,271
436,270
469,270
470,271
471,271
472,270
475,270
476,269
492,269
493,268
523,268
524,267
540,267
541,266
547,266
548,267
551,267
552,266
567,266
568,267
569,267
570,268
575,268
576,269
577,269
578,270
579,270
580,271
583,271
584,272
588,272
589,273
595,273
596,274
601,274
602,275
603,275
604,276
605,276
606,277
607,277
608,278
609,278
611,280
612,280
614,282
615,282
616,283
617,283
618,284
619,284
627,292
628,292
634,298
634,300
635,301
635,303
636,304
636,306
637,307
637,309
638,310
638,316
637,317
637,319
636,320
636,322
635,323
635,325
634,326
634,328
633,329
633,331
632,332
632,334
631,335
631,337
630,338
630,340
624,346
623,346
620,349
619,349
618,350
617,350
616,351
615,351
614,352
612,352
611,353
610,353
609,354
607,354
605,356
604,356
603,357
601,357
600,358
599,358
598,359
595,359
594,360
592,360
591,361
589,361
585,365
584,365
583,366
582,366
579,369
578,369
577,370
576,370
574,372
573,372
572,373
571,373
570,374
569,374
567,376
566,376
565,377
564,377
563,378
561,378
560,379
557,379
556,380
551,380
550,381
543,381
542,382
538,382
537,383
532,383
531,384
529,384
528,385
520,385
519,386
508,386
507,387
479,387
478,386
476,386
475,385
473,385
472,384
463,384
462,383
438,383
437,382
431,382
430,383
352,383
351,382
349,382
348,383
340,383
339,384
332,384
331,385
326,385
325,386
321,386
320,387
316,387
315,388
314,388
313,389
312,389
311,390
310,390
309,391
308,391
307,392
305,392
303,394
299,394
298,395
286,395
285,396
268,396
267,397
262,397
261,398
257,398
256,399
251,399
250,400
249,400
248,401
247,401
246,402
242,402
241,403
240,403
239,404
235,404
234,405
231,405
230,406
229,406
227,408
223,408
221,410
220,410
219,411
218,411
216,413
215,413
214,414
213,414
212,415
211,415
210,416
209,416
204,421
203,421
202,422
200,422
198,424
196,424
195,425
194,425
193,426
191,426
187,430
185,430
184,431
182,431
181,432
179,432
178,433
176,433
172,437
171,437
167,441
166,441
163,444
161,444
160,445
158,445
157,446
156,446
146,456
145,456
144,457
143,457
124,476
124,477
118,483
118,484
114,488
114,489
113,490
113,492
112,493
112,495
111,496
111,498
110,499
110,501
109,502
109,537
88,558
88,559
86,561
86,562
74,574
86,562
86,561
88,559
88,558
108,538
110,538
118,546
119,546
123,550
124,550
125,551
126,551
127,552
128,552
129,553
130,553
131,554
132,554
134,556
136,556
137,557
139,557
140,558
142,558
144,560
145,560
146,561
147,561
148,562
150,562
151,563
153,563
154,564
155,564
156,565
157,565
158,566
159,566
161,568
162,568
163,569
164,569
166,571
167,571
168,572
170,572
171,573
173,573
174,574
176,574
177,575
179,575
180,576
182,576
183,577
185,577
186,578
188,578
189,579
190,579
191,580
202,580
203,581
207,581
208,582
253,582
254,581
269,581
270,580
277,580
278,579
288,579
289,578
297,578
298,577
301,577
302,576
308,576
309,575
313,575
314,574
316,574
317,573
319,573
320,572
330,572
331,571
334,571
335,570
338,570
339,569
348,569
349,568
355,568
356,567
364,567
365,566
368,566
369,565
371,565
372,564
373,564
374,563
377,563
378,562
379,562
380,561
381,561
382,560
385,560
386,559
387,559
388,558
389,558
390,557
393,557
394,556
395,556
396,555
400,555
401,554
403,554
404,553
412,553
413,552
418,552
419,551
425,551
426,550
428,550
429,549
430,549
431,548
438,548
439,547
441,547
442,546
450,546
451,545
456,545
457,544
464,544
465,543
466,543
467,542
472,542
473,541
477,541
478,540
482,540
483,539
491,539
493,537
499,537
500,536
509,536
510,535
518,535
519,534
534,534
535,533
540,533
541,532
545,532
546,533
552,533
553,534
555,532
556,532
557,531
558,531
559,530
560,530
561,529
562,529
563,528
564,528
565,527
566,527
567,526
568,526
569,525
571,525
572,524
573,524
574,523
575,523
576,522
577,522
578,521
579,521
580,520
582,520
583,519
589,519
590,518
606,518
607,517
630,517
631,516
640,516
641,515
680,515
681,516
711,516
712,517
717,517
718,518
725,518
726,519
731,519
732,520
739,520
740,521
746,521
747,522
748,522
749,523
750,523
751,524
752,524
753,525
755,525
756,526
757,526
758,527
759,527
761,529
763,529
764,530
765,530
767,532
768,532
769,533
770,533
772,535
773,535
775,537
775,538
781,544
781,545
782,546
782,547
781,548
781,550
780,551
780,553
779,554
779,555
778,556
778,558
777,559
777,561
776,562
776,564
775,565
775,566
774,567
774,568
773,569
773,570
772,571
772,572
771,573
771,574
770,575
770,577
769,578
769,580
768,581
768,582
767,583
767,584
766,585
766,586
765,587
765,588
764,589
764,590
763,591
763,592
762,593
762,594
761,595
